Participant,ItemID,Item,S,Es,R
Survey1_1,Item1b,1,0,-2.688223566,0
Survey1_1,Item2a,2,0,1.031725684,0
Survey1_1,Item3b,3,0,0.510932789,0
Survey1_1,Item4a,4,0,1.031725684,0
Survey1_1,Item5b,5,0,-2.130231179,0
Survey1_1,Item6a,6,0,-2.427827119,0
Survey1_1,Item7b,7,0,-0.084259091,0
Survey1_1,Item8a,8,0,1.031725684,0
Survey1_1,Item9b,9,0,-1.981433209,0
Survey1_1,Item10a,10,0,0.994526191,0
Survey1_1,Item11b,11,1,-2.390627626,0
Survey1_1,Item12a,12,1,1.031725684,0
Survey1_1,Item13b,13,1,-1.386241329,0
Survey1_1,Item14a,14,1,0.585331774,1
Survey1_1,Item15b,15,1,-0.381855031,0
Survey1_1,Item16a,16,1,-1.944233716,0
Survey1_1,Item17b,17,1,-2.688223566,0
Survey1_1,Item18a,18,1,1.031725684,2
Survey1_1,Item19b,19,1,-2.613824581,0
Survey1_1,Item20a,20,1,1.031725684,1
Survey1_10,Item1a,1,0,0.362134819,0
Survey1_10,Item2b,2,0,0.362134819,1
Survey1_10,Item3a,3,0,1.031725684,1
Survey1_10,Item4b,4,0,0.064538879,0
Survey1_10,Item5a,5,0,-0.419054524,0
Survey1_10,Item6b,6,0,-0.828248941,0
Survey1_10,Item7a,7,0,1.031725684,1
Survey1_10,Item8b,8,0,-0.419054524,0
Survey1_10,Item9a,9,0,-0.530653001,0
Survey1_10,Item10b,10,0,-0.419054524,0
Survey1_10,Item11a,11,1,1.031725684,1
Survey1_10,Item12b,12,1,-0.828248941,0
Survey1_10,Item13a,13,1,1.031725684,1
Survey1_10,Item14b,14,1,-0.605051986,0
Survey1_10,Item15a,15,1,1.031725684,1
Survey1_10,Item16b,16,1,-0.828248941,0
Survey1_10,Item17a,17,1,1.031725684,1
Survey1_10,Item18b,18,1,-0.530653001,0
Survey1_10,Item19a,19,1,1.031725684,1
Survey1_10,Item20b,20,1,-0.828248941,0
Survey1_11,Item1a,1,0,-0.456254016,0
Survey1_11,Item2b,2,0,-0.233057061,0
Survey1_11,Item3a,3,0,0.994526191,1
Survey1_11,Item4b,4,0,-2.651024074,0
Survey1_11,Item5a,5,0,-0.456254016,0
Survey1_11,Item6b,6,0,-1.572238791,0
Survey1_11,Item7a,7,0,0.994526191,1
Survey1_11,Item8b,8,0,-2.316228641,0
Survey1_11,Item9a,9,0,0.585331774,1
Survey1_11,Item10b,10,0,-0.828248941,0
Survey1_11,Item11a,11,1,-0.642251479,1
Survey1_11,Item12b,12,1,-1.944233716,0
Survey1_11,Item13a,13,1,0.994526191,1
Survey1_11,Item14b,14,1,-0.828248941,0
Survey1_11,Item15a,15,1,0.994526191,0
Survey1_11,Item16b,16,1,-2.651024074,0
Survey1_11,Item17a,17,1,1.031725684,1
Survey1_11,Item18b,18,1,-0.679450971,0
Survey1_11,Item19a,19,1,0.994526191,1
Survey1_11,Item20b,20,1,-2.651024074,0
Survey1_12,Item1a,1,0,0.473733296,0
Survey1_12,Item2b,2,0,0.696930251,0
Survey1_12,Item3a,3,0,-1.200243866,1
Survey1_12,Item4b,4,0,-1.200243866,0
Survey1_12,Item5a,5,0,0.101738371,0
Survey1_12,Item6b,6,0,-2.688223566,2
Survey1_12,Item7a,7,0,-0.456254016,0
Survey1_12,Item8b,8,0,-1.200243866,0
Survey1_12,Item9a,9,0,-0.456254016,0
Survey1_12,Item10b,10,0,-0.456254016,0
Survey1_12,Item11a,11,1,0.287735834,1
Survey1_12,Item12b,12,1,-1.200243866,0
Survey1_12,Item13a,13,1,1.031725684,0
Survey1_12,Item14b,14,1,-1.200243866,0
Survey1_12,Item15a,15,1,1.031725684,0
Survey1_12,Item16b,16,1,-1.572238791,0
Survey1_12,Item17a,17,1,0.659730759,1
Survey1_12,Item18b,18,1,-1.572238791,0
Survey1_12,Item19a,19,1,1.031725684,1
Survey1_12,Item20b,20,1,-1.200243866,2
Survey1_13,Item1a,1,0,1.031725684,1
Survey1_13,Item2b,2,0,0.473733296,1
Survey1_13,Item3a,3,0,-0.679450971,0
Survey1_13,Item4b,4,0,1.031725684,1
Survey1_13,Item5a,5,0,1.031725684,1
Survey1_13,Item6b,6,0,0.771329236,0
Survey1_13,Item7a,7,0,0.585331774,0
Survey1_13,Item8b,8,0,1.031725684,0
Survey1_13,Item9a,9,0,1.031725684,0
Survey1_13,Item10b,10,0,0.734129744,1
Survey1_13,Item11a,11,1,1.031725684,1
Survey1_13,Item12b,12,1,1.031725684,0
Survey1_13,Item13a,13,1,1.031725684,1
Survey1_13,Item14b,14,1,0.324935326,0
Survey1_13,Item15a,15,1,1.031725684,0
Survey1_13,Item16b,16,1,0.064538879,0
Survey1_13,Item17a,17,1,1.031725684,1
Survey1_13,Item18b,18,1,0.659730759,0
Survey1_13,Item19a,19,1,1.031725684,1
Survey1_13,Item20b,20,1,1.031725684,2
Survey1_14,Item1a,1,0,1.031725684,1
Survey1_14,Item2b,2,0,1.031725684,1
Survey1_14,Item3a,3,0,1.031725684,1
Survey1_14,Item4b,4,0,0.994526191,1
Survey1_14,Item5a,5,0,0.882927714,1
Survey1_14,Item6b,6,0,-0.828248941,0
Survey1_14,Item7a,7,0,0.362134819,1
Survey1_14,Item8b,8,0,-2.018632701,0
Survey1_14,Item9a,9,0,0.585331774,1
Survey1_14,Item10b,10,0,-2.018632701,0
Survey1_14,Item11a,11,1,1.031725684,0
Survey1_14,Item12b,12,1,-2.055832194,0
Survey1_14,Item13a,13,1,1.031725684,0
Survey1_14,Item14b,14,1,0.176137356,0
Survey1_14,Item15a,15,1,1.031725684,1
Survey1_14,Item16b,16,1,-0.456254016,1
Survey1_14,Item17a,17,1,1.031725684,1
Survey1_14,Item18b,18,1,-1.981433209,0
Survey1_14,Item19a,19,1,1.031725684,1
Survey1_14,Item20b,20,1,-2.093031686,0
Survey1_15,Item1b,1,0,-1.200243866,2
Survey1_15,Item2a,2,0,0.622531266,0
Survey1_15,Item3b,3,0,0.101738371,0
Survey1_15,Item4a,4,0,0.882927714,2
Survey1_15,Item5b,5,0,-0.567852494,0
Survey1_15,Item6a,6,0,0.399334311,1
Survey1_15,Item7b,7,0,-0.716650464,0
Survey1_15,Item8a,8,0,0.622531266,1
Survey1_15,Item9b,9,0,-0.642251479,0
Survey1_15,Item10a,10,0,-0.456254016,2
Survey1_15,Item11b,11,1,-0.939847419,0
Survey1_15,Item12a,12,1,0.213336849,0
Survey1_15,Item13b,13,1,-1.944233716,0
Survey1_15,Item14a,14,1,0.548132281,2
Survey1_15,Item15b,15,1,-0.493453509,0
Survey1_15,Item16a,16,1,0.696930251,0
Survey1_15,Item17b,17,1,-1.200243866,0
Survey1_15,Item18a,18,1,-0.456254016,0
Survey1_15,Item19b,19,1,-0.977046911,0
Survey1_15,Item20a,20,1,0.845728221,1
Survey1_16,Item1b,1,0,-1.981433209,2
Survey1_16,Item2a,2,0,1.031725684,0
Survey1_16,Item3b,3,0,0.287735834,1
Survey1_16,Item4a,4,0,0.287735834,1
Survey1_16,Item5b,5,0,0.287735834,1
Survey1_16,Item6a,6,0,0.585331774,0
Survey1_16,Item7b,7,0,-0.456254016,0
Survey1_16,Item8a,8,0,1.031725684,1
Survey1_16,Item9b,9,0,-0.456254016,0
Survey1_16,Item10a,10,0,1.031725684,1
Survey1_16,Item11b,11,1,-0.419054524,0
Survey1_16,Item12a,12,1,0.659730759,1
Survey1_16,Item13b,13,1,-1.163044374,0
Survey1_16,Item14a,14,1,0.436533804,1
Survey1_16,Item15b,15,1,0.808528729,0
Survey1_16,Item16a,16,1,0.659730759,0
Survey1_16,Item17b,17,1,-1.907034224,1
Survey1_16,Item18a,18,1,0.734129744,1
Survey1_16,Item19b,19,1,-1.200243866,1
Survey1_16,Item20a,20,1,1.031725684,1
Survey1_17,Item1a,1,0,-0.307456046,0
Survey1_17,Item2b,2,0,0.362134819,0
Survey1_17,Item3a,3,0,1.031725684,1
Survey1_17,Item4b,4,0,-0.828248941,0
Survey1_17,Item5a,5,0,0.213336849,0
Survey1_17,Item6b,6,0,-1.944233716,0
Survey1_17,Item7a,7,0,1.031725684,2
Survey1_17,Item8b,8,0,-0.381855031,0
Survey1_17,Item9a,9,0,-0.456254016,2
Survey1_17,Item10b,10,0,-0.419054524,0
Survey1_17,Item11a,11,1,1.031725684,1
Survey1_17,Item12b,12,1,1.031725684,0
Survey1_17,Item13a,13,1,1.031725684,0
Survey1_17,Item14b,14,1,-0.307456046,0
Survey1_17,Item15a,15,1,1.031725684,0
Survey1_17,Item16b,16,1,-0.865448434,0
Survey1_17,Item17a,17,1,1.031725684,0
Survey1_17,Item18b,18,1,-2.353428134,0
Survey1_17,Item19a,19,1,1.031725684,0
Survey1_17,Item20b,20,1,0.399334311,0
Survey1_18,Item1b,1,0,-0.009860106,1
Survey1_18,Item2a,2,0,-0.047059599,0
Survey1_18,Item3b,3,0,-0.642251479,1
Survey1_18,Item4a,4,0,-0.344655539,2
Survey1_18,Item5b,5,0,0.845728221,1
Survey1_18,Item6a,6,0,-2.576625089,1
Survey1_18,Item7b,7,0,-2.279029149,0
Survey1_18,Item8a,8,0,0.287735834,0
Survey1_18,Item9b,9,0,-1.497839806,2
Survey1_18,Item10a,10,0,1.031725684,1
Survey1_18,Item11b,11,1,-0.084259091,0
Survey1_18,Item12a,12,1,0.734129744,1
Survey1_18,Item13b,13,1,-1.944233716,0
Survey1_18,Item14a,14,1,-2.465026611,0
Survey1_18,Item15b,15,1,-1.646637776,0
Survey1_18,Item16a,16,1,0.101738371,0
Survey1_18,Item17b,17,1,-1.163044374,1
Survey1_18,Item18a,18,1,-0.233057061,1
Survey1_18,Item19b,19,1,-2.688223566,0
Survey1_18,Item20a,20,1,1.031725684,1
Survey1_19,Item1b,1,0,-1.014246404,0
Survey1_19,Item2a,2,0,0.659730759,0
Survey1_19,Item3b,3,0,0.287735834,0
Survey1_19,Item4a,4,0,0.994526191,1
Survey1_19,Item5b,5,0,0.845728221,0
Survey1_19,Item6a,6,0,0.659730759,0
Survey1_19,Item7b,7,0,-0.084259091,0
Survey1_19,Item8a,8,0,0.734129744,1
Survey1_19,Item9b,9,0,0.101738371,0
Survey1_19,Item10a,10,0,0.473733296,1
Survey1_19,Item11b,11,1,0.362134819,0
Survey1_19,Item12a,12,1,0.808528729,0
Survey1_19,Item13b,13,1,-0.233057061,1
Survey1_19,Item14a,14,1,0.845728221,1
Survey1_19,Item15b,15,1,0.845728221,0
Survey1_19,Item16a,16,1,0.808528729,1
Survey1_19,Item17b,17,1,0.473733296,0
Survey1_19,Item18a,18,1,0.994526191,1
